Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,SMA_20,SMA_50,EMA_20,RSI,MACD,MACD_Signal,MACD_Hist,BB_Upper,BB_Middle,BB_Lower,OBV
2023-12-19,345.5799865722656,353.6000061035156,345.1199951171875,350.3599853515625,349.6415100097656,17729400,0.0,0.0,,,,,,,,,,,17729400
2023-12-20,348.6499938964844,354.9599914550781,347.7900085449219,349.2799987792969,348.563720703125,16369900,0.0,0.0,,,,,,,,,,,1359500
2023-12-21,352.9800109863281,356.4100036621094,349.2099914550781,354.0899963378906,353.36383056640625,15289600,0.0,0.0,,,,,,,,,,,16649100
2023-12-22,355.5799865722656,357.20001220703125,351.2200012207031,353.3900146484375,352.6653137207031,11764200,0.0,0.0,,,,,,,,,,,4884900
2023-12-26,354.989990234375,356.9800109863281,353.45001220703125,354.8299865722656,354.1023254394531,9898600,0.0,0.0,,,,,,,,,,,14783500
2023-12-27,356.07000732421875,359.0,355.3099975585937,357.8299865722656,357.09619140625,13207900,0.0,0.0,,,,,,,,,,,27991400
2023-12-28,359.70001220703125,361.8999938964844,357.8099975585937,358.32000732421875,357.585205078125,11798800,0.0,0.0,,,,,,,,,,,39790200
2023-12-29,358.989990234375,360.0,351.82000732421875,353.9599914550781,353.234130859375,14980500,0.0,0.0,,,,,,,,,,,24809700
2024-01-02,351.32000732421875,353.1600036621094,340.010009765625,346.2900085449219,345.5798645019531,19042200,0.0,0.0,,,,,,,,,,,5767500
2024-01-03,344.9800109863281,347.95001220703125,343.17999267578125,344.4700012207031,343.7635803222656,15451100,0.0,0.0,,,,,,,,,,,-9683600
2024-01-04,344.5,348.1499938964844,343.3999938964844,347.1199951171875,346.4081420898437,12099900,0.0,0.0,,,,,,,,,,,2416300
2024-01-05,346.989990234375,353.5,346.260009765625,351.95001220703125,351.228271484375,13920700,0.0,0.0,,,,,,,,,,,16337000
2024-01-08,354.70001220703125,358.9800109863281,352.04998779296875,358.6600036621094,357.92449951171875,13890200,0.0,0.0,,,,,,,,,,,30227200
2024-01-09,356.3999938964844,360.6400146484375,355.3599853515625,357.42999267578125,356.697021484375,13463900,0.0,0.0,,,,60.22079092943879,,,,,,,16763300
2024-01-10,360.1700134277344,372.9400024414063,359.0799865722656,370.4700012207031,369.7102661132813,22117200,0.0,0.0,,,,73.26404909499351,,,,,,,38880500
2024-01-11,372.1300048828125,372.7799987792969,362.9299926757813,369.6700134277344,368.9119262695313,17205400,0.0,0.0,,,,71.71057743903533,,,,,,,21675100
2024-01-12,370.1600036621094,377.05999755859375,369.5400085449219,374.489990234375,373.7220153808594,19295700,0.0,0.0,,,,75.13195036015162,,,,,,,40970800
2024-01-16,373.6499938964844,375.6099853515625,367.2300109863281,367.4599914550781,366.7064514160156,15306900,0.0,0.0,,,,63.13800257109729,,,,,,,25663900
2024-01-17,366.2999877929688,368.5400085449219,358.6099853515625,368.3699951171875,367.6145629882813,12724800,0.0,0.0,,,,63.94047490333683,,,,,,,38388700
